CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
13,john,password,Do the Duggie!,User,John,Wall,9a94f2fe3f72700404e2402cef53c75c,bd10e1c18c936b2e4837acdc15deb4dc9324a44b3d4ac9a6a7b583c06e48d88f
14,kevin,42,Doug Adams rocks,User,Kevin,Johnson,52847a849950bb7379f445b219d720dd,1773802b11298f90a9549d6eb1c6bc8a08c6d36e9569db62e5e72d5ddb928e3f
15,dave,set,Bet on S.E.T. FTW,User,Dave,Kennedy,fe94d8b926fb92a99763485cdebdfe61,6e3132b20fc07a8d42781e8e3e8759565ae3df31c9d792006895742e01383a7d
16,rocky,stripes,treats?,User,Rocky,Paws,50a388bf509bf8b221299d88af933339,ba1b8450c499951f4eb30fb46a90d70e9633c2190e174f429267c7b0bd332337
17,tim,lanmaster53,Because reconnaissance is hard to spell,User,Tim,Tomes,680ad0ad7327f00de99f540c7af7c7cf,0e230794ebe543359a49307e8988e24e83593f4e5573155615021ff1dcddc0c2
18,ABaker,SoSecret,Muffin tops only,User,Aaron,Baker,4dd59aca7c7904ccd4eb766a1a5479a8,4fddcf2c8ea87702437f23fc1501201d0fdec7f99c23657a109346937b288d4d
19,PPan,NotTelling,Where is Tinker?,User,Peter,Pan,65d91a8541176786e790846ae71bbe1b,d079aac1754d4854851ea10571ff949c0db9ba2d46ea01c6194aef6cd38981eb
20,CHook,JollyRoger,Gator-hater,User,Captain,Hook,cd669547556a487e5b7c280223923784,884f8997d8fa70b41abc844ad618d240d3f1bd5aacd4cff2d1e1729794505812
21,james,i<3devs,Occupation: Researcher,User,James,Jardine,b9bcd0ed0e16819a981538f4015eb387,05d037358f276f39dd03bd8e6fe8b77a5d707f198ef7f2c520d448ee8ddde019
22,ed,pentest,Commandline KungFu anyone?,User,Ed,Skoudis,9712179ad09f42e7c86135abde072bc7,3a7577c72ed490105fc23999528704480f5733bdd232e916d5dadc8f25e9fd5c
23,joe,holly,Off by one error,User,Joe,Holly,05cb0afea2ebb59e8edbd1811ad19e5a,90202d6c62247204da81c42730e9f15f63cd97172960d7a78b4fd785dbf401e7
24,peter,initech123,I dont like my job,User,Peter,Gibbons,b0f28ad74c4df13db63562d192d43431,7294fda0c5fd6a608d5851a5084cb37c2f08f35dd6aa1fe6ff90e45a026c70ba
25,milton,stapler,Wheres my stapler?,User,Milton,Waddams,d8c0a9b966016dd02a0e2aadc8dfce18,65ff8f567a1c37ee755e744c97a2f8de380c6cf4e0a3ef90b849faee72b0f9c6
26,bill,tpsreports,Did you get the memo?,User,Bill,Lumbergh,1cb4d5f907582a5b37b997ffecb7a8bf,1f4031347b77dbb71982d96a828de4cca3656840aa0fe552af2fd1255725d2cc
27,samir,nojoke123,No one can pronounce my last name,User,Samir,Nagheenanajar,d81418461648b1778d02558a9d73fde5,d75cd4def84181407bc8be898aeee52cc0834134ef99271b3380a4c528eb79ac
28,michael_b,michael123,We fixed the glitch,User,Michael,Bolton,1f1f4cf383d20b81a8b40435a48c0067,5302c270093b501bfb909a23e2d569969779c1e4a7ab23aa6fcc63b70f0a902d
29,michael_s,worldsbestboss,Worlds Best Boss,User,Michael,Scott,2fd892b103fbf7efd775a74c079e2b88,67129afbc01b30b9f6455140e93d7749c4ff17c962c290a03012b0b77126c498
30,jim,bearsbeatsbattlestar,Pranking Dwight,User,Jim,Halpert,8693878d74cfb567048cab366cd3aba1,a861b8eef8a809118e8dd72c4760cf9f7994efe50aa635a438c81289a6d64bd8
31,dwight,assistant_to_the_regional_manager,Bears. Beets. Battlestar Galactica.,User,Dwight,Schrute,f30afacb0a7596812057b05489d4f16a,84ec5a1d0a8abe968704006d490fe72f97251a990c939203ac45d95c302bf15d
32,pam,pammy123,Dunder Mifflin,User,Pam,Beesly,c2984d2c73750c2162717274dc1c6120,558214532610f958099c79333776ff11df70a129232e9620d54c480e4a1b966d
33,ryan,temp123,I am the temp,User,Ryan,Howard,6029f4f5e60a523654e997aba05be4c1,5e3e7ad521171c6e78c65c3898ce27e2681f0175b4e3b257796f0572cc3d25a8
34,derek,bluestrike,Im pretty sure theres more to life than being really, really ridiculously good looking,User,Derek,Zoolander,160680f41fa00550f2fc95b75cb992c3,d0cd729ae44e2bbb44317c75a65c5f19afa80896c5fec2a196aab892433f9691
35,hansel,hansel123,Hansel. Hes so hot right now.,User,Hansel,,401308e45ba1a317524c143195a0a439,d607f8646fa1bb20c3ecfad7b1703559ab7df03fe522d74b7e6331c7468dd178
36,mugatu,mugatu123,I invented the piano key necktie!,User,Jacobim,Mugatu,0ce9a67e1a42db9ed3fac0fa762001f8,57f4b3a18415edd845ebffa73d014b8c1b1695bccf96bbb606fce03edb92a0d9
37,matilda,journalist123,Investigative reporter,User,Matilda,Jeffries,4b6561be7c99f3b9a867964f950cbd6a,db103efeea6c66d940d7fbb34d26da4ca6da5498584d03791fbfa35ca9fd76e8
38,stackhawk,Kaakaww,Swooping in for security,User,Stack,Hawk,2855c923327deb6208fae1d2132de6ab,bf9456d15e305303473da8985c5d00516d3053953f6c44e6380ae328e20ce302
39,zoolander,zoolander123,I am really, really, really, ridiculously good looking,User,Derek,Zoolander,6217415be9ada2c541ffea85d99b8ad3,a0d980e188868494437dbbbb04f6fc39d8125877a96a35ba650a445be415bcc9
40,maury,maury123,Youre the guy who cant turn left,User,Maury,Ballstein,303389ca5834292043b6c83787a1aa07,a9cf7a52c68ac135e95bc7100967f9559ea19fa1453ff77db14a2068c80e95f5
